N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	26.9	26.9	27.6100009679794	19.9599996209145	14.5999997854233	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	12					
2	21.41	21.41	71.780002117157	70.3000009059906	70.3000009059906	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	18					
3	21.04	21.04	63.3700013160706	49.1699993610382	49.1699993610382	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		28					
4	12.51	14.51	19.310000538826	9.84300002455711	9.17199999094009	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	9					
5	10.49	10.49	29.3199986219406	19.1100001335144	15.9700006246567	Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2	i0_length1149.p1	5					
5	0	10.41	27.3200005292892	17.8000003099442	14.8800000548363	Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2	i0_length1233.p1	5					
5	0	8.37	41.9099986553192	20.4199999570847	12.729999423027	Efra.gene12442_i0_length1134.p1	Actin-1/2	i0_length1134.p1	4					
5	0	8.37	26.1900007724762	15.8700004220009	12.7000004053116	Efra.gene10979_i3_length1134.p1	Actin, non-muscle 6.2	i3_length1134.p1	4					
6	9.76	9.76	32.480001449585	20.7900002598763	19.0099999308586	Efra.gene7751_i0_length1518.p1	Efra.gene7751_i0_length1518.p1		5					
7	8.44	8.44	33.5599988698959	27.7399986982346	14.7300004959106	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	4					
7	0	8.17	39.5300000905991	25.9700000286102	16.6700005531311	Efra.gene17127_i6_length777.p1	Tropomyosin	i6_length777.p1	4					
7	0	7.22	49.3800014257431	26.8799990415573	26.8799990415573	Efra.gene30370_i0_length483.p1	Tropomyosin	i0_length483.p1	4					
7	0	7.22	39.7300004959106	29.449999332428	29.449999332428	Efra.gene17127_i5_length441.p1	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3)	i5_length441.p1	4					
8	8.37	8.37	54.1000008583069	45.8999991416931	36.0700011253357	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	4					
9	8.13	8.13	34.9500000476837	25.8100003004074	25.8100003004074	Efra.gene26421_i0_length561.p1	Globin C, coelomic	i0_length561.p1	5					
9	0	8	26.4200001955032	22.6400002837181	22.6400002837181	Efra.gene23511_i1_length639.p1	Globin-1 (Globin I)	i1_length639.p1	5					
10	7.74	7.74	48.7199991941452	48.7199991941452	48.7199991941452	Efra.gene42958_i0_length354.p1	Tenascin-R (TN-R) (Restrictin)	i0_length354.p1	5					
10	0	5.66	51.8199980258942	40.9099996089935	40.9099996089935	Efra.gene47379_i0_length333.p1	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain	4					
11	7.41	7.41	60.7800006866455	58.8199973106384	58.8199973106384	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		9					
12	6.63	6.63	47.8799998760223	36.4399999380112	21.6100007295609	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	4					
12	0	4.48	43.5400009155273	30.6199997663498	13.8799995183945	Efra.gene23746_i0_length630.p1	Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (Double LIM protein 1) (DLP-1)	i0_length630.p1	3					
13	6.02	6.02	32.1999996900558	14.7699996829033	14.7699996829033	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	3					
13	0	6.02	30.5400013923645	16.3200005888939	16.3200005888939	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	3					
13	0	4.02	32.1599990129471	11.0100001096725	11.0100001096725	Efra.gene18564_i1_length813.p1	Pentraxin fusion protein	i1_length813.p1	2					
14	5.59	5.59	52.4800002574921	32.6200008392334	32.6200008392334	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3					
15	5.39	8	42.5999999046326	42.5999999046326	33.1400007009506	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	4					
16	4.07	4.07	21.5200006961823	17.9399996995926	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	3					
17	4	4	5.21499998867512	1.41700003296137	1.41700003296137	Efra.gene330_i0_length5295.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	2					
18	2.93	2.93	27.8899997472763	17.6499992609024	6.10000006854534	Efra.gene9182_i0_length1380.p1	Efra.gene9182_i0_length1380.p1		2					
19	2.54	2.54	19.760000705719	6.78500011563301	4.42500002682209	Efra.gene14418_i2_length1020.p1	Major yolk protein (MYP) (Vitellogenin)	i2_length1020.p1	1					
20	2.52	3.67	31.1300009489059	31.1300009489059	29.2499989271164	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		3					
21	2.38	2.38	25.6999999284744	16.7600005865097	16.7600005865097	Efra.gene27331_i1_length540.p1	Calmodulin (CaM)	i1_length540.p1	2					
21	0	2.38	22.5600004196167	22.5600004196167	22.5600004196167	Efra.gene37076_i0_length399.p1	Calmodulin (CaM)	i0_length399.p1	2					
21	0	2.38	30.6100010871887	30.6100010871887	30.6100010871887	Efra.gene22225_i4_length296.p1	Calmodulin (CaM)	i4_length296.p1	2					
21	0	2.38	22.0599994063377	22.0599994063377	22.0599994063377	Efra.gene22225_i2_length411.p1	Calmodulin (CaM)	i2_length411.p1	2					
22	2.22	2.22	19.4900006055832	13.5600000619888	10.1700000464916	Efra.gene21137_i1_length711.p1	Serine protease inhibitor dipetalogastin (Dipetalin) (Fragment)	i1_length711.p1	1					
23	2.08	2.08	16.8200001120567	5.00000007450581	5.00000007450581	Efra.gene19055_i3_length734.p1	Fibrinogen-like protein A (FREP-A)	i3_length734.p1	1					
23	0	2	7.98500031232834	4.18299995362759	4.18299995362759	Efra.gene19055_i1_length792.p1	Fibrinogen-like protein A (FREP-A)	i1_length792.p1	1					
24	2.06	2.06	17.2600001096725	8.33299979567528	8.33299979567528	Efra.gene28977_i0_length507.p1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	i0_length507.p1	1					
25	2.04	8.45	33.0399990081787	18.4499993920326	14.8800000548363	Efra.gene14605_i0_length1011.p1	Actin-4	i0_length1011.p1	4					
25	0	10.41	40.0599986314774	22.4800005555153	19.0200001001358	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	5					
25	0	10.41	29.9199998378754	21.0199996829033	17.790000140667	Efra.gene12819_i0_length1113.p1	Actin, cytoplasmic [Cleaved into: Actin, cytoplasmic, intermediate form]	Cleaved into: Actin, cytoplasmic, intermediate form	5					
