N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	37.18	37.18	42.0100003480911	27.1100014448166	23.929999768734	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	22					
2	28.36	28.36	82.1799993515015	79.2100012302399	77.7199983596802	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	35					
3	25.72	25.72	68.1500017642975	53.0799984931946	53.0799984931946	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	30					
4	22.8	22.8	56.7799985408783	51.690000295639	47.4599987268448	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	14					
5	22.18	22.18	48.989999294281	43.7999993562698	43.7999993562698	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	17					
6	18.86	18.86	29.5500010251999	16.5299996733665	13.9500007033348	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	10					
7	18.08	21.59	17.7499994635582	12.4499998986721	10.809999704361	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	11					
8	14.96	14.96	50.4999995231628	43.8899993896484	35.3100001811981	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		13					
9	12	12	36.3599985837936	32.9499989748001	32.9499989748001	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	7					
9	0	12	36.3999992609024	36.3999992609024	36.3999992609024	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	7					
