N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	14.96	14.96	56.1100006103516	48.1799989938736	41.2499994039536	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		8					
2	11.28	11.28	41.5800005197525	41.5800005197525	41.5800005197525	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	8					
3	10.06	10.06	59.4299972057343	48.1099992990494	46.2300002574921	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		5					
4	10	10	60.7800006866455	58.8199973106384	58.8199973106384	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		9					
5	7.34	7.34	21.6100007295609	10.5700001120567	10.5700001120567	Efra.gene10049_i0_length1308.p1	Efra.gene10049_i0_length1308.p1		4					
6	6	6	41.8799996376038	36.7500007152557	36.7500007152557	Efra.gene42958_i0_length354.p1	Tenascin-R (TN-R) (Restrictin)	i0_length354.p1	4					
6	0	4	44.5499986410141	28.1800001859665	28.1800001859665	Efra.gene47379_i0_length333.p1	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain	3					
7	6	6	27.8699994087219	27.8699994087219	27.8699994087219	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	3					
8	5.26	5.26	17.1599999070168	13.1999999284744	13.1999999284744	Efra.gene16536_i2_length909.p1	Efra.gene16536_i2_length909.p1		3					
9	4.09	4.09	14.2900004982948	14.2900004982948	14.2900004982948	Efra.gene12747_i0_length1116.p1	Efra.gene12747_i0_length1116.p1		4					
10	4.08	4.08	16.4299994707108	7.49299973249435	7.49299973249435	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	2					
10	0	4.08	10.5099998414516	7.00799971818924	7.00799971818924	Efra.gene12819_i0_length1113.p1	Actin, cytoplasmic [Cleaved into: Actin, cytoplasmic, intermediate form]	Cleaved into: Actin, cytoplasmic, intermediate form	2					
10	0	4.08	10.3399999439716	6.89700022339821	6.89700022339821	Efra.gene12442_i0_length1134.p1	Actin-1/2	i0_length1134.p1	2					
10	0	4.08	10.2399997413158	6.82400017976761	6.82400017976761	Efra.gene12280_i0_length1146.p1	Actin, clone 205	i0_length1146.p1	2					
10	0	4.08	10.2099999785423	6.8060003221035	6.8060003221035	Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2	i0_length1149.p1	2					
10	0	4.08	10.3200003504753	6.87799975275993	6.87799975275993	Efra.gene10979_i3_length1134.p1	Actin, non-muscle 6.2	i3_length1134.p1	2					
10	0	4.08	9.51199978590012	6.34099990129471	6.34099990129471	Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2	i0_length1233.p1	2					
10	0	2.05	11.0100001096725	2.97599993646145	2.97599993646145	Efra.gene14605_i0_length1011.p1	Actin-4	i0_length1011.p1	1					
10	0	2.05	21.2099999189377	10.1000003516674	10.1000003516674	Efra.gene56636_i1_length297.p1	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Cleaved into: Actin, cytoplasmic 1, N-terminally processed	1					
10	0	2.05	16.0300001502037	7.63399973511696	7.63399973511696	Efra.gene37608_i0_length393.p1	Actin, cytoplasmic [Cleaved into: Actin, cytoplasmic, N-terminally processed]	Cleaved into: Actin, cytoplasmic, N-terminally processed	1					
