N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	33.28	33.28	34.1600000858307	24.5299994945526	19.2699998617172	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	16					
2	27.18	27.18	71.5799987316132	53.0799984931946	53.0799984931946	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	17					
3	22.08	22.08	79.2100012302399	76.7300009727478	70.7899987697601	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	18					
4	20.68	20.68	17.5500005483627	10.4800000786781	8.43700021505356	Efra.gene329_i3_length5301.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	10					
5	19.69	19.69	57.9299986362457	46.399998664856	43.520000576973	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	12					
6	15.36	15.36	56.360000371933	43.639999628067	43.639999628067	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	9					
7	13.09	16.71	17.5200000405312	9.76900011301041	8.87399986386299	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	9					
8	12	12	32.9499989748001	32.9499989748001	32.9499989748001	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	6					
8	0	12	36.3999992609024	36.3999992609024	36.3999992609024	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	6					
9	10.1	10.1	40.5900001525879	40.5900001525879	34.9799990653992	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		7					
10	10.04	10.04	60.7800006866455	60.7800006866455	60.7800006866455	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		12					
11	9.04	9.04	53.0099987983704	45.8999991416931	39.8900002241135	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5					
12	8	8	32.1799993515015	31.6799998283386	31.6799998283386	Efra.gene22328_i1_length673.p1	Calponin-3 (Calponin, acidic isoform)	i1_length673.p1	4					
12	0	6	37.5	36.7599993944168	36.7599993944168	Efra.gene35823_i0_length411.p1	Transgelin-2	i0_length411.p1	3					
13	7.65	7.65	39.1299992799759	34.1600000858307	29.8099994659424	Efra.gene30096_i0_length486.p1	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)	i0_length486.p1	4					
14	6.58	6.58	16.4299994707108	8.6779996752739	5.26899993419647	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	3					
15	6.12	6.12	37.610000371933	28.2099992036819	28.2099992036819	Efra.gene43037_i0_length354.p1	Efra.gene43037_i0_length354.p1		3					
16	6	6	44.9699997901917	27.2199988365173	27.2199988365173	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	3					
17	6	6	53.8999974727631	34.0400010347366	34.0400010347366	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3					
18	5.41	17.63	18.0800005793571	8.84400010108948	7.31299966573715	Efra.gene330_i0_length5295.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	9					
19	5.34	5.34	20.3899994492531	13.9200001955032	5.29399998486042	Efra.gene7598_i0_length1533.p1	Efra.gene7598_i0_length1533.p1		3					
20	4.89	4.89	6.15600012242794	2.95700002461672	2.23299991339445	Efra.gene399_i0_length4974.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)	i0_length4974.p1	2					
20	0	2.76	37.2099995613098	37.2099995613098	23.2600003480911	Efra.gene399_i1_length261.p1	Thyroglobulin (Tg)	i1_length261.p1	1					
21	4.27	4.27	25.6999999284744	25.6999999284744	16.7600005865097	Efra.gene27331_i1_length540.p1	Calmodulin (CaM)	i1_length540.p1	2					
21	0	4	22.5600004196167	22.5600004196167	22.5600004196167	Efra.gene37076_i0_length399.p1	Calmodulin (CaM)	i0_length399.p1	2					
21	0	4	30.6100010871887	30.6100010871887	30.6100010871887	Efra.gene22225_i4_length296.p1	Calmodulin (CaM)	i4_length296.p1	2					
21	0	4	22.0599994063377	22.0599994063377	22.0599994063377	Efra.gene22225_i2_length411.p1	Calmodulin (CaM)	i2_length411.p1	2					
22	4.09	4.09	27.140000462532	14.1599997878075	11.8000000715256	Efra.gene14418_i2_length1020.p1	Major yolk protein (MYP) (Vitellogenin)	i2_length1020.p1	2					
23	4	15.74	44.879999756813	25.6099998950958	23.1700003147125	Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2	i0_length1233.p1	10					
23	0	15.31	51.3100028038025	27.4899989366531	24.8699992895126	Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2	i0_length1149.p1	11					
23	0	12.8	39.8099988698959	39.8099988698959	39.8099988698959	Efra.gene10979_i1_length633.p1	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Cleaved into: Actin, cytoplasmic 2, N-terminally processed	7					
23	0	10.77	52.4800002574921	28.099998831749	28.099998831749	Efra.gene14817_i1_length748.p1	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Cleaved into: Actin, cytoplasmic 2, N-terminally processed	6					
23	0	10.77	39.520001411438	39.520001411438	39.520001411438	Efra.gene10979_i2_length504.p1	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Cleaved into: Actin, cytoplasmic 2, N-terminally processed	6					
23	0	8.5	47.350001335144	31.7999988794327	28.2700002193451	Efra.gene14059_i0_length852.p1	Actin, cytoskeletal (M)	i0_length852.p1	6					
23	0	6.55	76.7700016498566	38.3799999952316	38.3799999952316	Efra.gene56636_i1_length297.p1	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Cleaved into: Actin, cytoplasmic 1, N-terminally processed	4					
23	0	4.02	43.5000002384186	30.5099993944168	19.2100003361702	Efra.gene27610_i0_length534.p1	Actin, muscle (LPM) (Fragment)	i0_length534.p1	3					
24	4	4.11	33.3299994468689	23.929999768734	23.929999768734	Efra.gene42994_i0_length354.p1	Efra.gene42994_i0_length354.p1		2					
25	4	4	21.5200006961823	17.9399996995926	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	2					
26	4	4	11.5599997341633	8.88900011777878	8.88900011777878	Efra.gene9478_i0_length1353.p1	Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2)	i0_length1353.p1	3					
27	4	4	21.0500001907349	21.0500001907349	21.0500001907349	Efra.gene59690_i0_length288.p1	Cysteine-rich protein 1 (CRP-1)	i0_length288.p1	2					
28	4	4	36.7500007152557	36.7500007152557	36.7500007152557	Efra.gene42958_i0_length354.p1	Tenascin-R (TN-R) (Restrictin)	i0_length354.p1	2					
28	0	2	16.3599997758865	16.3599997758865	16.3599997758865	Efra.gene47379_i0_length333.p1	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain	1					
29	3.51	3.51	13.9200001955032	6.3289999961853	6.3289999961853	Efra.gene8230_i3_length1185.p1	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	i3_length1185.p1	2					
29	0	3.51	11.2199999392033	5.10200001299381	5.10200001299381	Efra.gene8230_i0_length1470.p1	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	i0_length1470.p1	2					
30	3.43	3.43	39.8099988698959	26.8500000238419	26.8500000238419	Efra.gene49456_i1_length324.p1	Efra.gene49456_i1_length324.p1		2					
