N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	13.89	13.89	61.7200016975403	49.1699993610382	49.1699993610382	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		17					
2	10.18	10.18	63.3700013160706	40.5900001525879	33.1699997186661	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	6					
3	8.08	8.08	42.4499988555908	42.4499988555908	29.2499989271164	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		4					
4	6.04	6.07	58.8199973106384	56.8599998950958	56.8599998950958	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		8					
5	5.72	5.72	20.8100005984306	8.22999998927116	8.22999998927116	cont|0010|KER	keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	3					
5	0	5.72	19.4100007414818	8.22999998927116	8.22999998927116	cont|0009|KER	keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	3					
5	0	5.72	19.4100007414818	8.22999998927116	8.22999998927116	cont|0007|K2C1_HUMAN	Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	3					
6	5.4	5.4	17.9800003767014	17.9800003767014	15.4599994421005	Efra.gene14678_i0_length1005.p1	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2) (TIMP-2)	i0_length1005.p1	3					
7	5.32	5.32	48.7199991941452	48.7199991941452	48.7199991941452	Efra.gene42958_i0_length354.p1	Tenascin-R (TN-R) (Restrictin)	i0_length354.p1	4					
8	4.97	4.97	21.6100007295609	21.6100007295609	17.8000003099442	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	2					
8	0	2.87	13.8799995183945	13.8799995183945	9.56899970769882	Efra.gene23746_i0_length630.p1	Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (Double LIM protein 1) (DLP-1)	i0_length630.p1	1					
9	4.87	4.87	35.5199992656708	33.8800013065338	33.8800013065338	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	4					
10	4.02	4.02	30.0399988889694	17.9399996995926	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	2					
11	3.54	3.54	71.9600021839142	20.5599993467331	20.5599993467331	Efra.gene49354_i0_length324.p1	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)	i0_length324.p1	2					
11	0	1.85	42.4400001764297	6.39500021934509	6.39500021934509	Efra.gene28361_i0_length519.p1	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	Cleaved into: Protocadherin Fat 1, nuclear form	1					
12	3	3	21.3799998164177	7.54700005054474	7.54700005054474	Efra.gene15574_i0_length957.p1	Efra.gene15574_i0_length957.p1		2					
13	2.76	2.76	23.0800002813339	12.3099997639656	8.07700008153915	Efra.gene18480_i1_length818.p1	Sushi domain-containing protein 2	i1_length818.p1	1					
14	2.23	2.23	8.49400013685226	3.68600003421307	1.92300006747246	Efra.gene5067_i0_length1875.p1	CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2)	i0_length1875.p1	1					
14	0	2.23	4.03500013053417	2.01799999922514	1.05299996212125	Efra.gene1287_i0_length3423.p1	Nephronectin	i0_length3423.p1	1					
15	2	2	30.6699991226196	15.9999996423721	15.9999996423721	Efra.gene42768_i0_length273.p1	Efra.gene42768_i0_length273.p1		1					
16	2	2	41.8599992990494	32.5599998235703	32.5599998235703	Efra.gene56589_i0_length261.p1	Efra.gene56589_i0_length261.p1		1					
17	2	2	14.7900000214577	7.10100010037422	7.10100010037422	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	1					
18	2	2	14.1100004315376	11.2899996340275	11.2899996340275	Efra.gene20233_i0_length744.p1	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)	i0_length744.p1	1					
18	0	2	7.25400000810623	7.25400000810623	7.25400000810623	Efra.gene20233_i3_length579.p1	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)	i3_length579.p1	1					
