N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	39.94	39.94	27.9000014066696	25.3199994564056	23.8299995660782	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	20																																												
2	22.87	22.87	57.0999979972839	57.0999979972839	53.4699976444244	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		31																																												
3	17.31	17.31	74.260002374649	69.3099975585938	61.8799984455109	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	18																																												
4	17.01	21.07	12.4499998986721	11.4100001752377	10.7400000095367	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	11																																												
5	15.44	15.44	31.1199992895126	31.1199992895126	31.1199992895126	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	10																																												
5	0	13.43	21.0199996829033	21.0199996829033	21.0199996829033	Efra.gene12819_i0_length1113.p1	Actin, cytoplasmic [Cleaved into: Actin, cytoplasmic, intermediate form]	Cleaved into: Actin, cytoplasmic, intermediate form	9																																												
6	14.17	14.18	42.8099989891052	33.2199990749359	33.2199990749359	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	8																																												
7	8.01	8.01	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5																																												
8	7.12	7.13	44.3699985742569	44.3699985742569	40.0000005960464	Efra.gene30394_i1_length483.p1	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M)	i1_length483.p1	4																																												
9	6.7	6.73	36.4399999380112	29.2400002479553	21.6100007295609	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	3																																												
9	0	4.62	30.6199997663498	22.4900007247925	13.8799995183945	Efra.gene23746_i0_length630.p1	Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (Double LIM protein 1) (DLP-1)	i0_length630.p1	2																																												
10	6.35	6.36	33.7300002574921	33.7300002574921	33.7300002574921	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	5																																												
11	6.14	6.15	43.970000743866	34.0400010347366	34.0400010347366	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3																																												
12	6.09	6.09	18.4200003743172	10.4999996721745	10.4999996721745	Efra.gene7751_i0_length1518.p1	Efra.gene7751_i0_length1518.p1		3																																												
13	6.02	6.02	21.9699993729591	14.7699996829033	14.7699996829033	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	3																																												
13	0	6.02	24.269999563694	16.3200005888939	16.3200005888939	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	3																																												
13	0	4.01	19.3800002336502	11.0100001096725	11.0100001096725	Efra.gene18564_i1_length813.p1	Pentraxin fusion protein	i1_length813.p1	2																																												
14	6	6	42.1600013971329	42.1600013971329	42.1600013971329	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		7																																												
