N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	27	27	24.3300005793571	20.6599995493889	14.4999995827675	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	13																																												
2	21.66	21.66	74.7500002384186	74.7500002384186	73.2699990272522	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	23																																												
3	18.26	18.26	36.3000005483627	36.3000005483627	35.6200009584427	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	16																																												
4	16.15	16.15	41.2099987268448	38.620001077652	38.620001077652	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	9																																												
5	13.93	13.93	39.9300009012222	35.3100001811981	35.3100001811981	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		14																																												
6	13.59	13.62	6.45499974489212	6.45499974489212	6.45499974489212	Efra.gene329_i3_length5301.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	8																																												
7	12.16	12.16	40.2500003576279	40.2500003576279	36.0199987888336	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	8																																												
8	8.31	10.31	6.93499967455864	6.93499967455864	6.04000017046928	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	6																																												
9	8.03	8.03	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5																																												
10	8.01	8.01	27.649998664856	20.4500004649162	20.4500004649162	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	4																																												
10	0	8.01	30.5400013923645	22.5899994373322	22.5899994373322	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	4																																												
10	0	6.01	25.9900003671646	17.620000243187	17.620000243187	Efra.gene18564_i1_length813.p1	Pentraxin fusion protein	i1_length813.p1	3																																												
11	7.81	7.87	8.26399996876717	5.88800013065338	5.88800013065338	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	4																																												
12	7.64	7.68	43.970000743866	43.970000743866	43.970000743866	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	4																																												
13	6.05	6.05	12.2800000011921	10.4999996721745	10.4999996721745	Efra.gene7751_i0_length1518.p1	Efra.gene7751_i0_length1518.p1		3																																												
14	6	16.13	25.3899991512299	23.2999995350838	23.2999995350838	Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2	i0_length1149.p1	11																																												
14	0	14.09	21.2200000882149	19.2699998617172	19.2699998617172	Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2	i0_length1233.p1	10																																												
14	0	10.06	31.7999988794327	28.6199986934662	28.6199986934662	Efra.gene14059_i0_length852.p1	Actin, cytoskeletal (M)	i0_length852.p1	8																																												
14	0	6.05	24.8600006103516	19.7699993848801	19.7699993848801	Efra.gene27610_i0_length534.p1	Actin, muscle (LPM) (Fragment)	i0_length534.p1	5																																												
15	6	6	18.3400005102158	18.3400005102158	18.3400005102158	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	3																																												
16	4.79	4.82	25.6999999284744	25.6999999284744	25.6999999284744	Efra.gene27331_i1_length540.p1	Calmodulin (CaM)	i1_length540.p1	3																																												
16	0	2.21	22.5600004196167	22.5600004196167	22.5600004196167	Efra.gene37076_i0_length399.p1	Calmodulin (CaM)	i0_length399.p1	2																																												
16	0	2.21	30.6100010871887	30.6100010871887	30.6100010871887	Efra.gene22225_i4_length296.p1	Calmodulin (CaM)	i4_length296.p1	2																																												
16	0	2.21	22.0599994063377	22.0599994063377	22.0599994063377	Efra.gene22225_i2_length411.p1	Calmodulin (CaM)	i2_length411.p1	2																																												
17	4.48	4.49	20.2999994158745	20.2999994158745	20.2999994158745	Efra.gene22328_i1_length673.p1	Calponin-3 (Calponin, acidic isoform)	i1_length673.p1	3																																												
17	0	2.43	19.8500007390976	19.8500007390976	19.8500007390976	Efra.gene35823_i0_length411.p1	Transgelin-2	i0_length411.p1	2																																												
18	4.19	4.22	28.2099992036819	28.2099992036819	28.2099992036819	Efra.gene43037_i0_length354.p1	Efra.gene43037_i0_length354.p1		4																																												
19	4.11	4.11	27.9799997806549	12.5	12.5	Efra.gene28977_i0_length507.p1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	i0_length507.p1	2																																												
20	4.06	4.07	21.5200006961823	17.9399996995926	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	2																																												
21	4.05	4.06	31.1300009489059	31.1300009489059	29.2499989271164	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		3																																												
22	4	4	13.4700000286102	7.73599967360497	7.73599967360497	Efra.gene13900_i0_length1047.p1	Efra.gene13900_i0_length1047.p1		2																																												
23	4	4	11.0500000417233	8.78200009465218	8.78200009465218	Efra.gene13656_i0_length1062.p1	Efra.gene13656_i0_length1062.p1		2																																												
