N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	36.44	36.44	28.2000005245209	26.5100002288818	20.8499997854233	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	17																																												
2	28.61	28.61	56.1600029468536	53.0799984931946	53.0799984931946	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	16																																												
3	20.15	20.15	10.9300002455711	9.68300029635429	9.1729998588562	Efra.gene329_i3_length5301.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	11																																												
4	18.74	18.74	48.4100013971329	46.399998664856	46.399998664856	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	15																																												
5	17.78	17.83	76.2399971485138	76.2399971485138	70.7899987697601	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	18																																												
6	13.78	13.78	47.8799998760223	47.8799998760223	43.639999628067	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	9																																												
7	12.37	16.51	9.76900011301041	8.87399986386299	8.87399986386299	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	9																																												
8	12	12	32.9499989748001	32.9499989748001	32.9499989748001	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	6																																												
8	0	12	36.3999992609024	36.3999992609024	36.3999992609024	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	6																																												
9	9.7	9.7	60.7800006866455	60.7800006866455	60.7800006866455	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		11																																												
10	8.71	8.79	40.5900001525879	40.5900001525879	40.5900001525879	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		9																																												
11	8.19	8.24	34.7799986600876	34.1600000858307	34.1600000858307	Efra.gene30096_i0_length486.p1	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)	i0_length486.p1	6																																												
12	8	8	14.9000003933907	13.9200001955032	13.9200001955032	Efra.gene7598_i0_length1533.p1	Efra.gene7598_i0_length1533.p1		5																																												
13	7.35	7.41	10.2300003170967	8.57400000095367	7.02499970793724	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	4																																												
14	7.09	7.13	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	6																																												
15	6	6	34.0400010347366	34.0400010347366	34.0400010347366	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3																																												
16	6	6	27.2199988365173	27.2199988365173	27.2199988365173	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	3																																												
17	5.63	16.77	10.5400003492832	8.04999992251396	8.04999992251396	Efra.gene330_i0_length5295.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	10																																												
18	5.34	5.38	31.6799998283386	31.6799998283386	31.6799998283386	Efra.gene22328_i1_length673.p1	Calponin-3 (Calponin, acidic isoform)	i1_length673.p1	4																																												
19	5.26	5.34	12.6399993896484	10.1099997758865	10.1099997758865	Efra.gene10049_i0_length1308.p1	Efra.gene10049_i0_length1308.p1		3																																												
19	0	3.89	6.4020000398159	6.4020000398159	6.4020000398159	Efra.gene9364_i0_length1362.p1	Efra.gene9364_i0_length1362.p1		2																																												
20	5.12	5.25	37.610000371933	37.610000371933	37.610000371933	Efra.gene43037_i0_length354.p1	Efra.gene43037_i0_length354.p1		4																																												
21	4.73	4.77	25.6999999284744	25.6999999284744	25.6999999284744	Efra.gene27331_i1_length540.p1	Calmodulin (CaM)	i1_length540.p1	3																																												
21	0	2.18	22.5600004196167	22.5600004196167	22.5600004196167	Efra.gene37076_i0_length399.p1	Calmodulin (CaM)	i0_length399.p1	2																																												
21	0	2.18	30.6100010871887	30.6100010871887	30.6100010871887	Efra.gene22225_i4_length296.p1	Calmodulin (CaM)	i4_length296.p1	2																																												
21	0	2.18	22.0599994063377	22.0599994063377	22.0599994063377	Efra.gene22225_i2_length411.p1	Calmodulin (CaM)	i2_length411.p1	2																																												
22	4.33	4.43	12.899999320507	10.4099996387959	7.69200026988983	Efra.gene9826_i0_length1326.p1	Elongation factor 1-alpha (EF-1-alpha)	i0_length1326.p1	2																																												
22	0	4.43	15.9199997782707	12.8499999642372	9.49700027704239	Efra.gene7558_i2_length1074.p1	Elongation factor 1-alpha (EF-1-alpha)	i2_length1074.p1	2																																												
22	0	4.43	11.1299999058247	8.98400023579597	6.64099976420403	Efra.gene7558_i0_length1539.p1	Elongation factor 1-alpha (EF-1-alpha)	i0_length1539.p1	2																																												
23	4.23	4.25	14.1599997878075	14.1599997878075	11.8000000715256	Efra.gene14418_i2_length1020.p1	Major yolk protein (MYP) (Vitellogenin)	i2_length1020.p1	2																																												
24	4.18	4.29	2.95700002461672	2.95700002461672	2.95700002461672	Efra.gene399_i0_length4974.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)	i0_length4974.p1	3																																												
24	0	3.7	37.2099995613098	37.2099995613098	37.2099995613098	Efra.gene399_i1_length261.p1	Thyroglobulin (Tg)	i1_length261.p1	2																																												
25	4.03	14.7	42.5900012254715	29.1000008583069	29.1000008583069	Efra.gene10979_i3_length1134.p1	Actin, non-muscle 6.2	i3_length1134.p1	11																																												
25	0	10.04	37.049999833107	21.6900005936623	21.6900005936623	Efra.gene14817_i2_length996.p1	Actin, non-muscle 6.2	i2_length996.p1	7																																												
26	4	5.06	33.3299994468689	33.3299994468689	33.3299994468689	Efra.gene42994_i0_length354.p1	Efra.gene42994_i0_length354.p1		3																																												
