N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	18.72	18.72	52.1200001239777	52.1200001239777	52.1200001239777	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	14																																												
2	18.39	18.41	59.8999977111816	59.8999977111816	56.4400017261505	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	21																																												
3	16.01	16.01	29.1799992322922	29.1799992322922	29.1799992322922	Efra.gene12442_i0_length1134.p1	Actin-1/2	i0_length1134.p1	11																																												
4	12.46	12.46	43.5600012540817	43.5600012540817	43.5600012540817	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		15																																												
5	10	10	5.26299998164177	5.26299998164177	5.26299998164177	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	5																																												
6	8.02	8.02	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5																																												
7	7.07	7.1	23.9700004458427	23.9700004458427	21.2300002574921	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	8																																												
7	0	7.03	21.7099994421005	21.7099994421005	18.6000004410744	Efra.gene17127_i6_length777.p1	Tropomyosin	i6_length777.p1	7																																												
7	0	6.28	33.3299994468689	33.3299994468689	25	Efra.gene59164_i0_length291.p1	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	i0_length291.p1	4																																												
7	0	6.28	20.0000002980232	20.0000002980232	15.0000005960464	Efra.gene30370_i0_length483.p1	Tropomyosin	i0_length483.p1	4																																												
7	0	6.28	21.9200000166893	21.9200000166893	16.4399996399879	Efra.gene17127_i5_length441.p1	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3)	i5_length441.p1	4																																												
7	0	6.28	25.4000008106232	25.4000008106232	19.0500006079674	Efra.gene17127_i2_length381.p1	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3)	i2_length381.p1	4																																												
8	6	6	34.0400010347366	34.0400010347366	34.0400010347366	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3																																												
9	6	6	18.3400005102158	18.3400005102158	18.3400005102158	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	3																																												
10	6	6	24.3399992585182	24.3399992585182	24.3399992585182	Efra.gene25967_i0_length570.p1	Myosin regulatory light chain 2, smooth muscle minor isoform (MLC-2) (DTNB) (G1) (Isoform L20-B1)	i0_length570.p1	4																																												
10	0	4	43.0599987506866	43.0599987506866	43.0599987506866	Efra.gene25967_i2_length219.p1	Myosin regulatory light chain 2, smooth muscle major isoform (MLC-2) (DTNB) (G1) (Isoform L20-A)	i2_length219.p1	3																																												
10	0	4	29.2499989271164	29.2499989271164	29.2499989271164	Efra.gene25967_i1_length321.p1	Myosin regulatory light chain 2, smooth muscle minor isoform (MLC-2) (DTNB) (G1) (Isoform L20-B1)	i1_length321.p1	3																																												
11	6	6	14.7699996829033	14.7699996829033	14.7699996829033	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	3																																												
