N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	37.53	37.53	36.939999461174	23.6300006508827	21.1500003933907	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	19					
2	26	26	55.9099972248077	49.8600006103516	49.8600006103516	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	20					
3	25.51	25.51	82.669997215271	79.6999990940094	73.2699990272522	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	34					
4	24.44	24.44	72.8799998760223	62.2900009155273	57.2000026702881	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	15					
5	20.97	20.97	33.160001039505	18.4900000691414	17.4600005149841	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	11					
6	19.88	19.88	68.1500017642975	54.449999332428	51.0299980640411	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	28					
7	13.24	17.24	20.1299995183945	8.05400013923645	8.05400013923645	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	9					
8	12.44	12.44	10.9899997711182	6.00199997425079	4.9830000847578	Efra.gene329_i3_length5301.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	6					
9	12.01	12.01	64.8500025272369	54.8099994659424	54.8099994659424	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	9					
10	10.5	10.5	59.5700025558472	59.5700025558472	54.610002040863	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	5					
11	10	10	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	6					
