N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	25.1	25.1	47.9499995708466	47.9499995708466	46.2300002574921	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	12																																												
2	18	18	59.4099998474121	49.0099996328354	49.0099996328354	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	12																																												
3	16	16	19.0999999642372	19.0999999642372	19.0999999642372	cont|0010|KER	keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	8																																												
3	0	16	19.0999999642372	19.0999999642372	19.0999999642372	cont|0009|KER	keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	8																																												
3	0	16	19.0999999642372	19.0999999642372	19.0999999642372	cont|0007|K2C1_HUMAN	Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	8																																												
4	14	14	24.9300003051758	24.9300003051758	24.9300003051758	Efra.gene12442_i0_length1134.p1	Actin-1/2	i0_length1134.p1	7																																												
5	12.02	12.02	32.0100009441376	31.3499987125397	31.3499987125397	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		9																																												
6	8.85	8.85	27.649998664856	27.649998664856	27.649998664856	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	6																																												
6	0	8.85	30.5400013923645	30.5400013923645	30.5400013923645	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	6																																												
6	0	7.47	25.9900003671646	25.9900003671646	25.9900003671646	Efra.gene18564_i1_length813.p1	Pentraxin fusion protein	i1_length813.p1	5																																												
