N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	36.48	36.48	29.4900000095367	27.1100014448166	21.3499993085861	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	20																																												
2	24.63	24.63	53.0799984931946	53.0799984931946	52.3999989032745	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	27																																												
3	20.83	20.83	79.6999990940094	78.710001707077	78.710001707077	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	31																																												
4	19.09	19.09	17.9800003767014	16.5299996733665	15.5000001192093	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	11																																												
5	18.06	18.06	48.989999294281	46.6899991035461	43.7999993562698	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	17																																												
6	16.84	21.2	13.9400005340576	12.4499998986721	11.3300003111362	Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length4026.p1	12																																												
7	15.25	15.25	51.690000295639	47.4599987268448	43.639999628067	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	13																																												
8	12	12	32.9499989748001	32.9499989748001	32.9499989748001	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	6																																												
8	0	12	36.3999992609024	36.3999992609024	36.3999992609024	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	6																																												
9	10.64	10.64	43.8899993896484	35.3100001811981	25.7400006055832	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		10																																												
10	8	8	43.970000743866	43.970000743866	43.970000743866	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	4																																												
11	6.48	6.48	15.7800003886223	14.2199993133545	14.2199993133545	Efra.gene9478_i0_length1353.p1	Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2)	i0_length1353.p1	4																																												
12	6.47	6.48	25.2700001001358	25.2700001001358	25.2700001001358	Efra.gene26421_i0_length561.p1	Globin C, coelomic	i0_length561.p1	5																																												
12	0	4.92	17.9199993610382	17.9199993610382	17.9199993610382	Efra.gene23511_i1_length639.p1	Globin-1 (Globin I)	i1_length639.p1	4																																												
13	6.35	6.36	45.8999991416931	45.8999991416931	39.8900002241135	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5																																												
14	6.31	6.34	5.04000000655651	4.01999987661839	3.28399986028671	Efra.gene329_i3_length5301.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	4																																												
15	6.07	6.08	10.0900001823902	8.22999998927116	8.22999998927116	cont|0010|KER	keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	3																																												
15	0	6.08	10.0900001823902	8.22999998927116	8.22999998927116	cont|0009|KER	keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	3																																												
15	0	6.08	10.0900001823902	8.22999998927116	8.22999998927116	cont|0007|K2C1_HUMAN	Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	3																																												
16	6.06	6.07	42.4499988555908	42.4499988555908	42.4499988555908	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		6																																												
17	6	6	10.4999996721745	10.4999996721745	10.4999996721745	Efra.gene7751_i0_length1518.p1	Efra.gene7751_i0_length1518.p1		3																																												
18	6	6	34.1899991035461	34.1899991035461	34.1899991035461	Efra.gene41171_i0_length356.p1	Efra.gene41171_i0_length356.p1		4																																												
18	0	4	37.2099995613098	37.2099995613098	37.2099995613098	Efra.gene41171_i1_length366.p1	Efra.gene41171_i1_length366.p1		3																																												
18	0	4	19.4399997591972	19.4399997591972	19.4399997591972	Efra.gene33593_i0_length435.p1	Efra.gene33593_i0_length435.p1		3																																												
19	4.71	4.73	12.2900001704693	12.2900001704693	9.71399992704391	Efra.gene12082_i0_length1156.p1	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)	i0_length1156.p1	2																																												
20	4.22	14.36	29.8400014638901	27.7500003576279	25.1300007104874	Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2	i0_length1149.p1	15																																												
20	0	14.05	27.7999997138977	25.8500009775162	23.4099999070168	Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2	i0_length1233.p1	14																																												
